t,- torso_lift_joint_velocity,- arm_1_joint_velocity,- arm_2_joint_velocity,- arm_3_joint_velocity,- arm_4_joint_velocity,- arm_5_joint_velocity,- arm_6_joint_velocity,- arm_7_joint_velocity
70.35036373138428,1.5840242677613956e-08,-0.0001673721943339863,0.00020779386256186797,0.00020348801551741083,-0.0009558936653136137,-1.2259152238167395e-07,7.81728696878261e-05,-5.669312018509539e-05
70.36028695106506,1.5048230543733257e-08,-0.00015900358461728696,0.00019740416943377456,0.00019331361474154028,-0.000908098982047933,-1.1646194626259025e-07,5.126419819720593e-05,-3.085843616961174e-05
70.37030863761902,1.4295819016546593e-08,-0.0001510534053864226,0.00018753396096208582,0.00018364793400446326,-0.0008626940329455363,-1.1063884894946073e-07,-1.9620411300207883e-05,-6.5417144986594705e-06
70.38075757026672,1.3581028065719263e-08,-0.00014350073511710146,0.00017815726291398152,0.00017446553730424009,-0.0008195593312982594,-1.0510690650198769e-07,-0.00010663380590091129,8.177978639198731e-05
70.3906090259552,1.2901976662433299e-08,-0.00013632569836124637,0.00016924939976828242,0.00016574226043902806,-0.0007785813647333464,-9.98515611768883e-08,-7.834748387683637e-05,5.473616534335858e-05
70.40053486824036,1.2256877829311634e-08,-0.00012950941344318405,0.00016078692977986828,0.00015745514741707665,-0.000739652296496679,-9.485898311804388e-08,4.03951702198821e-05,-1.689581086547949e-05
70.41001772880554,1.1644033937846052e-08,-0.00012303394277102483,0.00023360719598740953,0.0001495823900462228,-0.000702669681671845,-9.011603396214168e-08,3.8375411708887995e-05,-1.6051020322205516e-05
70.42030453681946,1.1061832240953748e-08,-0.00011688224563247359,0.00022192683618803903,0.00021692711929457216,-0.0006675361975882528,-8.561023226403459e-08,3.64566411234436e-05,-1.524846930609524e-05
70.42986178398132,1.050874062890606e-08,-0.0001110381333508499,0.00021083049437863708,0.00020608076332984354,-0.0006341593877088401,-8.132972065083286e-08,1.0855235155148036e-05,9.292528071332903e-06
70.44038152694702,9.983303597460756e-09,-0.00010548622668330739,0.00020028896965970522,0.00019577672516335134,-0.0006024514183233981,-7.726323461829121e-08,-3.3088426314439885e-05,5.222880137959678e-05
70.4501097202301,9.484138417587718e-09,-0.00010021191534914202,0.00019027452117671996,0.00018598788890518376,-0.0005723288474072281,-7.340007288737664e-08,-0.00014892427729870428,0.00012011152469066592
70.46017575263977,9.009931496708331e-09,-9.520131958168491e-05,0.00018076079511788397,0.00017668849445992457,-0.0005437124050368667,-6.973006924300781e-08,-2.818398391250207e-05,8.118689348656143e-07
70.47008728981018,8.559434921872914e-09,-9.044125360260067e-05,0.00017172275536198975,0.00016785406973692833,-0.0005165267847850233,-6.624356578085742e-08,4.2249202357840474e-05,-6.82527115865951e-05
70.48102521896362,8.131463175779267e-09,-8.591919092247062e-05,0.00016313661759389026,0.0001594613662500819,-0.0004907004455457721,-6.293138749181454e-08,8.187426696266876e-05,-6.48400760073605e-05
70.49022364616394,7.724890016990304e-09,-8.162323137634709e-05,0.00015497978671419574,0.0001514882979375778,-0.00046616542326848346,-5.97848181172238e-08,2.7918808454592242e-05,-1.1736327047049389e-05
70.49993896484375,7.3386455161407884e-09,-7.754206980752974e-05,0.00022573370480682403,0.0001439138830406989,-0.0004428571521050593,-5.6795577211362615e-08,-4.356870639871656e-05,5.8942063735882267e-05
70.51018762588501,6.9717132403337484e-09,-7.366496631715324e-05,0.0002144470195664828,0.00013671818888866396,-0.0004207142944998063,-5.395579835079448e-08,-0.00013049856753705888,0.0001451032570073663
70.52017307281494,6.623127578317061e-09,-6.998171800129558e-05,0.00020372466858815865,0.0002067400791504311,-0.000399678579774816,-5.125800843325475e-08,-3.24766595761503e-05,6.026247808971422e-07
70.53021335601807,6.291971199401207e-09,-6.648263210123079e-05,0.0001935384351587507,0.00019640307519290954,-0.0003796946507860752,-4.869510801159201e-08,6.003601279269305e-05,-9.031634584818355e-05
70.5402557849884,5.9773726394311464e-09,-6.315850049616924e-05,0.00018386151340081316,0.00018658292143326405,-0.0003607099182467714,-4.626035261101241e-08,1.1585286584234891e-05,-8.580052855567075e-05
70.55148673057556,5.678504007459589e-09,-6.000057547136078e-05,0.0001746684377307725,0.00017725377536160084,-0.0003426744223344328,-4.394733498046179e-08,3.144647417204955e-05,-2.018914637643518e-05
70.56016874313354,5.3945788070866096e-09,-5.700054669779274e-05,0.00016593501584423386,0.0002562431049126384,-0.00032554070121771115,-4.17499682314387e-08,-4.8564807819876683e-05,5.925926922571034e-05
70.57087683677673,5.124849866732279e-09,-5.41505193629031e-05,0.00015763826505202217,0.00024343094966700646,-0.00030926366615682555,-3.966246981986676e-08,-0.000131153430994212,0.000141313169329754
70.58081674575806,4.868607373395665e-09,-5.1442993394757946e-05,0.00014975635179942105,0.00030867881691762307,-0.00029380048284898425,-3.767934632887342e-08,1.3652589514377229e-05,-4.000838095612358e-06
70.59077477455139,4.625177004725882e-09,-4.8870843725020044e-05,0.00021916219382371008,0.000370138535686002,-0.00027911045870653505,-3.579537901242975e-08,5.873979492045037e-05,-4.957063107262374e-05
70.59995532035828,4.393918154489587e-09,-4.642730153876904e-05,0.00020820408413252457,0.0006018642732058049,-0.00026515493577120827,-3.400561006180826e-08,3.0978244899233014e-05,-7.191665979418738e-05
70.6098096370697,4.174222246765108e-09,-4.4105936461830585e-05,0.00019779387992589832,0.0011152924716366585,-0.00025189718898264784,-3.230532955871785e-08,6.320530361479161e-06,-4.5212024511685806e-05
70.62094211578369,3.965511134426852e-09,-4.190063963873905e-05,0.0001879041859296034,0.0010595278480548256,-0.00023930232953351543,-3.069006308078195e-08,-3.51042969947816e-05,3.926617839049076e-05
70.62988686561584,3.767235577705509e-09,-3.9805607656802097e-05,0.00017850897663312322,0.001177890032846162,-0.00022733721305683965,-2.9155559926742852e-08,-0.00010983918314696892,0.00011379297047289262
70.64026546478271,3.5788737988202337e-09,-3.781532727396199e-05,0.00016958352780146703,0.001118995531203854,-0.00021597035240399765,-2.769778193040571e-08,-1.647994355554662e-05,2.023604151517414e-05
70.65180659294128,3.3999301088792217e-09,-3.592456091026389e-05,0.00016110435141139369,0.0011968879848864745,-0.00020517183478379776,-2.6312892833885422e-08,6.401169864230076e-05,-6.0443405580654616e-05
70.65996050834656,3.2299336034352606e-09,-3.412833286475069e-05,0.000153049133840824,0.0012301314319321213,-0.00019491324304460786,-2.499724819219115e-08,3.3106518977713436e-05,-2.9716640569149605e-05
70.66993403434753,3.0684369232634973e-09,-3.2421916221513155e-05,0.0001453966771487828,0.0011686248603355151,-0.00018516758089237746,-2.374738578258159e-08,-1.4297911062103379e-05,-2.823080854058782e-05
70.68031597137451,2.9150150771003222e-09,-3.08008204104375e-05,0.00013812684329134365,0.0011101936173187393,-0.00017590920184775859,-2.256001649345251e-08,-7.953830678885873e-05,3.913602316630209e-05
70.69098162651062,2.769264323245306e-09,-2.926077938991562e-05,0.00020335138384080972,0.0011268148191668356,-0.00016711374175537065,-2.1432015668779884e-08,-0.00016143111356349302,8.01140830650419e-05
70.69997191429138,2.6308011070830405e-09,-2.779774042041984e-05,0.00019318381464876922,0.0010704740782084938,-0.00015875805466760212,-2.036041488534089e-08,2.380522672056598e-05,1.8061408071851418e-07
70.70991826057434,2.4992610517288884e-09,-2.6407853399398847e-05,0.00018352462391633075,0.001016950374298069,-0.000150820151934222,-1.9342394141073846e-08,6.845520017489482e-05,-4.566865141367455e-05
70.72012948989868,2.374297999142444e-09,-2.5087460729428905e-05,0.0001743483927205142,0.0009661028555831656,-0.0001432791443375109,-1.837527443402015e-08,6.503244016615008e-05,-4.3385218842990827e-05
70.73000860214233,2.2555830991853213e-09,-2.383308769295746e-05,0.0001656309730844885,0.0009177977128040073,-0.00013611518712063533,-1.745651071231914e-08,3.86993472037945e-05,-1.8134486946793214e-05
70.73986172676086,2.1428039442260553e-09,-2.2641433308309584e-05,0.00015734942443026406,0.0008719078271638068,-0.00012930942776460356,-1.6583685176703183e-08,-3.2581479739088724e-05,5.887523928064102e-06
70.75049448013306,2.0356637470147523e-09,-2.1509361642894105e-05,0.0002218923595659109,0.0008283124358056164,-0.00012284395637637336,-1.5754500917868024e-08,-0.00011715489264940376,9.179563462893036e-05
70.76103663444519,1.9338805596640145e-09,-2.04338935607494e-05,0.00021079774158761535,0.0007868968140153355,-0.0001167017585575547,-1.4966775871974622e-08,-6.798024853472884e-05,5.72053933107323e-07
70.77081537246704,1.8371865316808136e-09,-1.9412198882711928e-05,0.0002002578545082346,0.0007475519733145688,-0.00011086667062967696,-1.421843707837589e-08,2.850316774075627e-05,-4.599875068779859e-05
70.78030347824097,1.745327205096773e-09,-1.844158893857633e-05,0.00019024496178282285,0.0007101743746488403,-0.0001053233370981931,-1.3507515224457094e-08,5.11740351984217e-05,-6.77948389981119e-05
70.79085564613342,1.6580608448419342e-09,-1.7519509491647513e-05,0.0001807327136936817,0.0006746656559163983,-0.00010005717024328344,-1.2832139463234239e-08,4.8615333438500614e-05,-6.440509704820631e-05
70.79994249343872,1.5751578025998374e-09,-1.6643534017065136e-05,0.00025591063321383025,0.0006409323731205784,-9.505431173111926e-05,-1.2190532490072527e-08,2.112082090183809e-05,1.4006395398568861e-05
70.80994367599487,1.4963999124698454e-09,-1.5811357316211878e-05,0.00024311510155313872,0.0006088857544645494,-9.03015961445633e-05,-1.15810058655689e-08,-9.395595527207984e-05,8.171851670599149e-05
70.82091450691223,1.421579916846353e-09,-1.5020789450401284e-05,0.00023095934647548178,0.0005784414667413219,-8.578651633733512e-05,-1.1001955572290454e-08,-6.84407245736217e-05,5.681515793583778e-05
70.8300108909607,1.3505009210040353e-09,-1.4269749977881219e-05,0.00021941137915170767,0.0005495193934042557,-8.149719052046836e-05,-1.045185779367593e-08,3.526444976316873e-05,-4.630873806906346e-05
70.8399407863617,1.2829758749538336e-09,-1.3556262478987157e-05,0.00020844081019412227,0.0005220434237340429,-7.742233099444494e-05,-9.929264903992133e-09,5.645201176687084e-05,-6.694408565747082e-05
70.85047483444214,1.2188270812061419e-09,-1.28784493550378e-05,0.00019801876968441614,0.0004959412525473407,-7.355121444472268e-05,-9.432801658792526e-09,7.537807527880632e-05,-4.184821727431825e-05
70.86120843887329,1.1578857271458346e-09,-1.2234526887285908e-05,0.0002596494895854699,0.0004711441899199737,-6.987365372248654e-05,-8.961161575852899e-09,5.032008077865462e-05,-1.846671567439095e-05
70.86994481086731,1.0999914407885428e-09,-1.1622800542921612e-05,0.0002466670151061964,0.000447586980423975,-6.637997103636221e-05,-8.513103497060254e-09,-3.0279024035034392e-05,6.053972088408487e-05
70.88018608093262,1.0449918687491157e-09,-1.1041660515775531e-05,0.00023433366435088657,0.00042520763140277624,-6.30609724845441e-05,-8.08744832220724e-09,-0.00014042643147227612,0.000124509550023331
70.89053702354431,9.927422753116599e-10,-1.0489577489986755e-05,0.00022261698113334224,0.0004039472498326374,-5.9907923860316896e-05,-7.683075906096878e-09,-2.309290246458989e-05,7.971865088092031e-06
