# timestamp, jointType, position.X, position.Y, position.Z, orientation.X, orientation.Y, orientation.Z, orientation.W, state
14232.8523, 11, 0.4130661, -0.5430685, 2.089292, 0.4604943, -0.1179376, 0.8752824, 0.08897448, 2
14232.8523, 12, 0.04612344, -0.3179287, 2.151632, -0.5507419, 0.7906415, -0.2419682, 0.1141083, 2
14232.8523, 13, 0.06882627, -0.6475286, 2.169133, 0.7393029, 0.007606687, -0.6719754, 0.0426903, 2
14232.8523, 14, 0.0560618, -0.989791, 2.207607, 0.728389, -0.0517682, -0.6826267, 0.02811142, 2
14232.8523, 15, 0.06215338, -1.013809, 2.105452, 0, 0, 0, 0, 2
14232.8523, 16, 0.1797732, -0.354032, 2.166009, 0.7509611, 0.6276112, -0.1583092, -0.1307663, 2
14232.8523, 17, 0.2252852, -0.6748888, 2.160135, 0.660647, 0.039811, 0.7473345, -0.05875172, 2
14232.8523, 18, 0.2371994, -0.9968254, 2.201868, 0.6959203, 0.0589532, 0.7149911, 0.03173281, 2
14232.8523, 19, 0.2406568, -1.020793, 2.09991, 0, 0, 0, 0, 2
14232.8523, 20, 0.2724311, 0.1562815, 2.11519, 0.1542941, 0.982946, -0.09410948, 0.03396862, 2
14232.8523, 21, -0.1445494, -0.3012021, 2.078519, 0, 0, 0, 0, 2
14232.8523, 22, -0.1080933, -0.2617397, 2.083959, 0, 0, 0, 0, 2
14232.8523, 23, 0.3823541, -0.6223976, 2.076272, 0, 0, 0, 0, 2
14232.8523, 24, 0.4780492, -0.535019, 2.134167, 0, 0, 0, 0, 2
14265.8532, 0, 0.1143784, -0.3454842, 2.1994, 0.1591131, 0.9827698, -0.07943245, 0.05036867, 2
14265.8532, 1, 0.2114893, -0.06186856, 2.156983, 0.1596774, 0.9831051, -0.078292, 0.0433359, 2
14265.8532, 2, 0.3138336, 0.2105355, 2.098189, 0.1729901, 0.976445, -0.12562, 0.02914096, 2
14265.8532, 3, 0.4477929, 0.3152944, 2.093635, 0, 0, 0, 0, 2
14265.8532, 4, 0.133551, 0.1660488, 2.098324, -0.6462109, 0.7546707, -0.1063245, -0.03973254, 2
14265.8532, 5, -0.074639, -0.02130883, 2.134114, 0.8574879, -0.4037275, -0.3106217, -0.07233814, 2
14265.8532, 6, -0.1422222, -0.2401618, 2.071361, 0.5301742, -0.1918865, 0.8244243, 0.0491886, 2
14265.8532, 7, -0.1432917, -0.256619, 2.091088, 0.486093, 0.3450857, 0.7640231, 0.2467758, 1
14265.8532, 8, 0.3867867, 0.02700526, 2.13696, 0.9369283, 0.3382769, -0.0264644, 0.08386698, 2
14265.8532, 9, 0.4257082, -0.2405152, 2.171211, 0.7928805, 0.09531823, 0.6018365, 0.006911859, 2
14265.8532, 10, 0.4295374, -0.4661063, 2.099519, 0.5542179, -0.12227, 0.8181053, -0.0927162, 2
14265.8532, 11, 0.4078675, -0.5509611, 2.091848, 0.5869977, -0.1090935, 0.7987728, 0.07412422, 2
14265.8532, 12, 0.04594783, -0.3203584, 2.155244, -0.5383951, 0.7970053, -0.2504541, 0.1103902, 2
14265.8532, 13, 0.06790458, -0.6486652, 2.170031, 0.7468921, 0.01001194, -0.6637278, 0.03895174, 2
14265.8532, 14, 0.05565215, -0.9895028, 2.206889, 0.7285423, -0.04984431, -0.6826499, 0.02703474, 2
14265.8532, 15, 0.06173955, -1.014059, 2.105032, 0, 0, 0, 0, 2
14265.8532, 16, 0.1789544, -0.3600508, 2.172185, 0.7601863, 0.6186931, -0.1545157, -0.1243403, 2
14265.8532, 17, 0.2249791, -0.6756912, 2.160662, 0.649061, 0.0333146, 0.7570767, -0.06666908, 2
14265.8532, 18, 0.2368569, -0.9973423, 2.20274, 0.6959442, 0.05933946, 0.7149164, 0.03217352, 2
14265.8532, 19, 0.2403108, -1.021846, 2.101081, 0, 0, 0, 0, 2
14265.8532, 20, 0.2884293, 0.1436604, 2.115504, 0.1724547, 0.9792868, -0.100705, 0.03339547, 2
14265.8532, 21, -0.147096, -0.2903472, 2.087101, 0, 0, 0, 0, 2
14265.8532, 22, -0.1079934, -0.2582797, 2.087024, 0, 0, 0, 0, 2
14265.8532, 23, 0.3829355, -0.6282492, 2.08025, 0, 0, 0, 0, 2
14265.8532, 24, 0.4596868, -0.5666857, 2.098286, 0, 0, 0, 0, 2
